순위, 곡명, 가수, 앨범
1,쉬어 (Feat. MINO) (Prod. GRAY),아넌딜라이트(Anandelight), unofficialboyy, BE'O (비오), 지구인, Mudd the student아넌딜라이트(Anandelight), unofficialboyy, BE'O (비오), 지구인, Mudd the student,쇼미더머니 10 Episode 1
2,strawberry moon,아이유아이유,strawberry moon
3,Wake Up (Prod. 코드 쿤스트),개코, Ourealgoat (아우릴고트), SINCE, 안병웅, Tabber, 조광일개코, Ourealgoat (아우릴고트), SINCE, 안병웅, Tabber, 조광일,쇼미더머니 10 Episode 1
4,Savage,aespaaespa,Savage - The 1st Mini Album
5,STAY,The Kid LAROI, Justin BieberThe Kid LAROI, Justin Bieber,Stay
6,신호등,이무진이무진,신호등
7,다정히 내 이름을 부르면,경서예지, 전건호경서예지, 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
8,TROUBLE (Prod. Slom),Don Mills, Northfacegawd, sokodomo, Khakii (카키), 에이체스 (A-Chess)Don Mills, Northfacegawd, sokodomo, Khakii (카키), 에이체스 (A-Chess),쇼미더머니 10 Episode 1
9,Next Level,aespaaespa,Next Level
10,너와 나의 Memories,염따, TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상, 송민영염따, TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상, 송민영,쇼미더머니 10 Episode 1
11,사랑은 늘 도망가,임영웅임영웅,신사와 아가씨 OST Part.2
12,OHAYO MY NIGHT,디핵 (D-Hack), PATEKO (파테코)디핵 (D-Hack), PATEKO (파테코),OHAYO MY NIGHT
13,너를 생각해,주시크 (Joosiq)주시크 (Joosiq),너를 생각해
14,My Universe,Coldplay, 방탄소년단Coldplay, 방탄소년단,My Universe
15,낙하 (with 아이유),AKMU (악뮤)AKMU (악뮤),NEXT EPISODE
16,바라만 본다,MSG워너비(M.O.M)MSG워너비(M.O.M),MSG워너비 1집
17,Permission to Dance,방탄소년단방탄소년단,Butter / Permission to Dance
18,Weekend,태연 (TAEYEON)태연 (TAEYEON),Weekend
19,Butter,방탄소년단방탄소년단,Butter
20,Peaches (Feat. Daniel Caesar & Giveon),Justin BieberJustin Bieber,Justice (The Complete Edition)
21,Bad Habits,Ed SheeranEd Sheeran,=
22,헤픈 우연,헤이즈 (Heize)헤이즈 (Heize),HAPPEN
23,고백,멜로망스멜로망스,세 번째 '고백'
24,Dynamite,방탄소년단방탄소년단,Dynamite (DayTime Version)
25,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌)
26,라일락,아이유아이유,IU 5th Album 'LILAC'
27,좋아좋아,조정석조정석,슬기로운 의사생활 시즌2 OST Part 5
28,Celebrity,아이유아이유,IU 5th Album 'LILAC'
29,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)마크툽 (MAKTUB),Red Moon : Beyond The Light
30,DUMB DUMB,전소미전소미,DUMB DUMB
31,사이렌 Remix (Feat. UNEDUCATED KID  Paul Blanco),호미들호미들,사이렌 Remix
32,롤린 (Rollin'),브레이브걸스브레이브걸스,Rollin'
33,Queendom,Red Velvet (레드벨벳)Red Velvet (레드벨벳),Queendom - The 6th Mini Album
34,비가 오는 날엔 (2021),헤이즈 (Heize)헤이즈 (Heize),비가 오는 날엔 (2021)
35,이제 나만 믿어요,임영웅임영웅,내일은 미스터트롯 우승자 특전곡
36,밤하늘의 별을(2020),경서경서,밤하늘의 별을(2020)
37,어떻게 이별까지 사랑하겠어  널 사랑하는 거지,AKMU (악뮤)AKMU (악뮤),항해
38,내 손을 잡아,아이유아이유,최고의 사랑 OST Part.4
39,비와 당신,이무진이무진,슬기로운 의사생활 시즌2 OST Part 1
40,밝게 빛나는 별이 되어 비춰줄게,송이한송이한,밝게 빛나는 별이 되어 비춰줄게
41,Dun Dun Dance,오마이걸 (OH MY GIRL)오마이걸 (OH MY GIRL),Dear OHMYGIRL
42,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy)케이시 (Kassy),옛이야기
43,Off My Face,Justin BieberJustin Bieber,Justice (The Complete Edition)
44,가을 타나 봐,이무진이무진,가을 타나 봐 (REVIBE Vol.4)
45,추억은 만남보다 이별에 남아,정동하정동하,추억은 만남보다 이별에 남아
46,가을 우체국 앞에서,김대명김대명,슬기로운 의사생활 시즌2 OST Part 2
47,모든 날  모든 순간 (Every day  Every Moment),폴킴폴킴,'키스 먼저 할까요?' OST Part.3
48,Rock with you,세븐틴세븐틴,SEVENTEEN 9th Mini Album 'Attacca'
49,Blueming,아이유아이유,Love poem
50,ASAP,STAYC(스테이씨)STAYC(스테이씨),STAYDOM
