,제목,재생시간,조회수
0,스틱고구마가 아니라 고.구.마.스.틱!,조회수 13만회,조회수 13만회
1,그냥 삼겹살만 구워먹기 아쉬울 땐..? 🦑 오징어로 분위기 대반전!,조회수 23만회,조회수 23만회
2,제철맞은🦑생물 오징어 샀을 때 제일 먼저 해야 할 것은?! #shorts,조회수 17만회,조회수 17만회
3,홍합 먹기 좋은 계절이죠? 전기밥솥으로 만들어본 홍합밥,조회수 15만회,조회수 15만회
4,비지찌개! 이렇게 고소하면 반칙인데요?,조회수 18만회,조회수 18만회
5,🎃 고오-급 레스토랑 부럽지 않은 단호박 수프 🎃,조회수 17만회,조회수 17만회
6,"요리할 때, 단맛과 짠맛 중 뭘 먼저 넣어야 할까요? #shorts",조회수 22만회,조회수 22만회
7,제가 좋아하는 갈치조림은요...,조회수 29만회,조회수 29만회
8,연돈 볼카츠? 집에서 만들어 봅시다,조회수 57만회,조회수 57만회
9,갑자기 쌀쌀해지니 뜨끈한 국물 생각나시죠?,조회수 95만회,조회수 95만회
10,[실시간] 달고나 좋아하세요...?,조회수 26만회,조회수 26만회
11,조리는 3분 컷! 재료비도 초저렴!,조회수 19만회,조회수 19만회
12,"김밥의 수많은 속재료가 부담된다면? '이것'만 준비하세요, 간단하게 김밥 맛집 흉내내기 가능!",조회수 95만회,조회수 95만회
13,꿀팁 대공개! 고추장찌개가 맛있어지는 비법은...!,조회수 63만회,조회수 63만회
14,한국인 입맛 정조준 라면! 매운 라면 국물 맛 좌우하는 마지막 한 스푼의 비법은? [한돈 라면],조회수 52만회,조회수 52만회
15,여행이 그리운 분들~ '공심채볶음'으로 동남아시아의 맛을 집에서도 느껴보아요!,조회수 14만회,조회수 14만회
16,한국 양념으로만 맛을 냈어요! 전복조림인 척 하는 전복구이,조회수 17만회,조회수 17만회
17,추석특집) 이게진짜_레알_수정_과.mp4,조회수 25만회,조회수 25만회
18,'새마을식당'하면 떠오르는 바로 그 메뉴! '7분돼지김치' 먹방과 김치찌개 이야기~  #내꺼내먹,조회수 80만회,조회수 80만회
19,내꺼내먹! '새마을식당'에서 열탄불고기 먹어봤습니다~ 외국 팀원들을 위한 불고기 먹방 A to Z!,조회수 115만회,조회수 115만회
20,고급 레스토랑 따라잡기! 전복 내장 이렇게 드시면 정말 맛있어요~ 전복크림파스타,조회수 18만회,조회수 18만회
21,만두를 맛있게 먹는 또 다른 방법? 매운맛 좋아하는 분들 따라해보세요 [인스타 라이브 편집본],조회수 8.4만회,조회수 8.4만회
22,스.푸.파 속 음식 따라하기! 청두야시장에서 먹던 그 감자 요리?!,조회수 18만회,조회수 18만회
23,마트에서 산 '돼지불고기'로  네가지 활용법 대방출,조회수 16만회,조회수 16만회
24,마트에서 산 '소불고기'로 다섯가지 활용법 대방출,조회수 15만회,조회수 15만회
25,성공적인 부대찌개를 위한 햄 고르기 Tip #shorts,조회수 33만회,조회수 33만회
26,"약 4,000원어치 고기로 만드는 그럴~듯한 스테이크!",조회수 111만회,조회수 111만회
27,"줄 서서 먹는 북엇국집 맛, 집에서 손쉽게 따라하기!",조회수 36만회,조회수 36만회
28,고기를 넣어 더 맛있는 감자조림! 든든한 밑반찬 만들어두세요~,조회수 30만회,조회수 30만회
29,"미원과 다시다, 어떻게 다를까요? 조미료 쉽게 이해하는 법~ #shorts",조회수 87만회,조회수 87만회
